rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	9	3.1973788456813796	651.999984	4.263256414560601e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	4.440892098500625e-16	0.0	2.1316282072803012e-16
superkingdom	34	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	33	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	32	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	31	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	30	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.220446049250313e-16	0.0	1.4210854715202002e-16
superkingdom	3	3.1973788456813796	651.999984	3.926940604912943e-05	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.926863499592847e-05	0.0	1.9635088553697328e-05
superkingdom	29	3.1973788456813796	651.999984	4.263256414560601e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-4.440892098500627e-16	0.0	2.1316282072803e-16
superkingdom	28	3.1973788456813796	651.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	27	3.1973788456813796	651.999984	5.684341886080802e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.551115123125782e-16	0.0	2.842170943040402e-16
superkingdom	26	3.1973788456813796	651.999984	0.0009616656647078944	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.004154275672582583	0.005993352911320556	0.00048083283235394737
superkingdom	25	3.1973788456813796	651.999984	4.263256414560601e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-4.440892098500627e-16	0.0	2.1316282072803e-16
superkingdom	24	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.220446049250313e-16	0.0	1.4210854715202002e-16
superkingdom	23	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	22	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	21	3.1973788456813796	651.999984	1.4210854715202004e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.1102230246251564e-16	0.0	7.105427357601002e-17
superkingdom	20	3.1973788456813796	651.999984	0.001255660751844856	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.005091126712279332	0.007344943260342725	0.0006278496404352057
superkingdom	2	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	19	3.1973788456813796	651.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	18	3.1973788456813796	651.999984	0.0019471283272289388	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.00725689427766841	0.010469485386647711	0.000973655452794969
superkingdom	17	3.1973788456813796	651.999984	0.0008904544637454189	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.0038809136038639837	0.005598974810413084	0.0004452272318727095
superkingdom	16	3.1973788456813796	651.999984	0.002933648823050805	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.010678045000616648	0.015405162568778826	0.001466939817408734
superkingdom	15	3.1973788456813796	651.999984	1.4210854715202004e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.1102230246251564e-16	0.0	7.105427357601002e-17
superkingdom	14	3.1973788456813796	651.999984	4.263256414560601e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	4.440892098500625e-16	0.0	2.1316282072803012e-16
superkingdom	13	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	12	3.1973788456813796	651.999984	0.0010883508154223257	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.004634179697479503	0.006685708068141997	0.0005441754077111628
superkingdom	11	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	10	3.1973788456813796	651.999984	0.0009754775869066987	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.004206984449509174	0.006069395602403872	0.00048773879345334934
superkingdom	1	3.1973788456813796	651.999984	4.263256414560601e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-4.440892098500627e-16	0.0	2.1316282072803e-16
superkingdom	0	3.1973788456813796	651.999984	0.0022723985286982325	1.0	0.5	0.6666666666666666	1.0	1.0	0.0	2.0	0.5	0.008422424228540585	0.012150989666778557	0.001136297478933751
superkingdom	35	3.1973788456813796	651.999984	5.253774108382458e-07	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.253772727875418e-07	0.0	2.62688774424497e-07
superkingdom	36	3.1973788456813796	651.999984	1.4210854715202004e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.1102230246251564e-16	0.0	7.105427357601002e-17
superkingdom	8	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.220446049250313e-16	0.0	1.4210854715202002e-16
superkingdom	38	3.1973788456813796	651.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	37	3.1973788456813796	651.999984	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	7	3.1973788456813796	651.999984	5.684341886080802e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.551115123125782e-16	0.0	2.842170943040402e-16
superkingdom	63	3.1973788456813796	651.999984	1.4210854715202004e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.1102230246251564e-16	0.0	7.105427357601002e-17
superkingdom	62	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.220446049250313e-16	0.0	1.4210854715202002e-16
superkingdom	61	3.1973788456813796	651.999984	2.842170943040401e-16	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.330669073875469e-16	0.0	1.4210854715202006e-16
superkingdom	60	3.1973788456813796	651.999984	0.00015273962781392925	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.00015272796252303994	0.0	7.63756467008902e-05
